0,68,66,61,79,4,11,46,39,2111,9149
1,74,29,96,17,1,17,38,44,375,7032
2,4,26,56,44,39,21,2,38,2105,4596
3,28,79,44,30,15,71,5,9,5300,5946
4,73,16,85,40,26,41,16,17,4208,6942
5,70,24,84,28,6,10,29,55,2996,9500
6,26,33,92,67,42,13,7,38,1907,1938
7,91,77,54,47,33,37,10,20,3001,4210
8,52,94,5,67,1,42,13,44,7769,8194
9,61,84,61,29,74,11,2,13,712,1320
10,80,6,32,88,24,5,55,16,5976,6809
11,88,97,39,8,13,10,56,21,713,3895
12,28,20,90,53,81,2,1,16,3379,4618
13,64,65,7,34,1,39,54,6,716,4909
14,34,6,52,56,25,47,8,20,245,5150
15,22,37,67,95,80,5,12,3,4894,7948
16,51,96,70,87,2,11,67,20,402,1964
17,9,33,53,79,26,47,5,22,3202,4490
18,65,62,57,11,42,4,20,34,5251,9003
19,3,41,65,99,21,13,30,36,2600,8207
20,9,39,21,19,41,10,42,7,4782,5251
21,65,18,31,65,33,1,38,28,330,7967
22,25,22,32,55,23,10,33,34,601,6090
23,90,68,67,75,15,20,45,20,2758,9284
24,73,45,3,98,40,20,39,1,6052,7512
25,89,85,37,13,3,13,71,13,3325,5128
26,24,57,18,63,25,54,8,13,1870,9871
27,37,2,3,97,14,54,4,28,8792,8931
28,12,34,46,42,29,17,22,32,108,575
29,13,50,71,74,23,16,37,24,5805,9807
30,23,23,4,95,46,1,46,7,3108,3315
31,41,50,71,66,5,56,34,5,4943,6842
32,29,44,89,70,46,12,18,24,461,6789
33,5,67,89,7,35,10,48,7,4980,7112
34,23,19,4,78,5,65,24,6,284,5267
35,16,25,14,21,9,24,31,36,6644,7926
36,3,78,5,98,5,14,53,28,3321,7081
37,55,3,65,3,59,33,6,2,403,1568
38,24,41,71,7,2,3,58,37,5131,8636
39,80,85,24,54,40,19,9,32,1017,9563
40,4,40,8,34,16,34,1,49,785,2526
41,18,29,89,40,16,45,24,15,5315,5475
42,10,82,3,21,5,13,7,75,2910,3518
43,20,68,43,66,49,5,14,32,3027,4765
44,71,1,8,43,11,76,5,8,6479,7716
45,22,13,35,82,10,43,45,2,3202,8791
46,71,68,28,2,19,10,11,60,144,9583
47,1,82,95,38,23,8,42,27,2950,5037
48,30,80,8,34,35,4,12,49,2339,7310
49,95,70,16,87,38,43,14,5,8651,9675
50,69,25,59,86,53,4,14,29,1284,8621
51,94,25,25,23,35,10,20,35,3790,8138
52,84,95,95,36,29,5,19,47,5092,9618
53,78,64,12,67,12,59,20,9,3355,9537
54,66,14,49,39,74,3,10,13,1672,4084
55,72,8,71,5,2,74,20,4,1499,8075
56,32,9,80,33,39,16,32,13,1227,6433
57,56,75,42,3,4,34,8,54,1049,3114
58,47,25,48,71,6,23,61,10,6120,6140
59,34,94,4,34,1,7,46,46,4639,8382
60,21,32,44,19,13,2,83,2,1099,2013
61,76,18,37,68,6,4,1,89,4563,5407
