0,84,9,40,11,72,91
1,42,43,94,87,3,20
2,8,81,94,38,56,39
3,37,76,75,8,61,4
4,48,42,37,21,45,14
5,68,39,9,56,32,67
6,91,65,92,40,51,44
7,85,71,99,53,35,51
8,26,53,60,39,28,29
9,18,34,17,19,26,2
10,14,98,37,74,16,78
11,4,56,88,22,58,10
12,39,6,11,13,17,23
13,69,4,48,34,11,88
14,83,19,70,48,11,4
15,17,39,7,61,32,47
16,81,71,1,8,30,29
17,19,2,63,14,14,2
18,59,0,46,3,43,58
19,25,74,44,63,32,14
20,39,48,98,27,54,25
21,25,20,45,44,3,21
22,48,91,49,39,29,67
23,26,77,62,39,31,49
24,85,37,31,22,67,27
25,17,83,4,50,46,13
26,14,24,37,83,2,45
27,78,62,67,7,3,24
28,78,28,99,34,15,65
29,6,12,40,45,27,23
30,59,73,70,7,86,19
31,32,27,61,97,0,57
32,85,25,86,5,92,18
33,8,36,30,61,30,29
34,3,20,93,40,25,62
35,59,11,6,51,9,41
36,57,40,5,42,45,20
37,99,45,56,5,21,10
38,34,51,16,67,29,20
39,63,41,11,33,50,41
40,4,1,34,21,76,72
41,10,12,27,35,40,74
42,15,19,84,24,22,8
43,49,51,8,18,33,27
44,8,83,88,53,14,7
45,94,21,32,9,23,31
46,90,91,21,62,22,96
47,35,5,39,25,67,57
48,39,92,31,14,20,52
49,60,97,38,4,20,30
50,43,3,70,27,68,21
51,16,11,78,5,3,9
52,7,2,54,6,27,84
53,57,99,17,39,49,67
54,3,28,26,7,8,41
55,20,43,41,39,4,63
56,87,43,77,68,15,10
57,99,91,77,32,32,76
58,37,48,26,75,23,14
59,39,58,70,31,29,18
60,90,39,97,9,47,41
61,71,72,21,36,39,25
62,18,33,37,53,38,21
63,95,7,9,9,23,69
64,16,32,11,69,15,26
65,91,76,46,4,2,1
66,9,26,38,59,3,85
67,39,9,95,29,32,17
68,78,78,16,7,13,38
69,90,10,6,64,16,5
70,85,21,9,35,2,27
71,10,85,99,49,13,34
72,69,83,8,1,85,31
73,20,71,91,19,37,30
74,30,51,44,9,49,51
75,47,28,2,0,46,17
76,40,94,21,36,17,63
77,37,82,95,20,26,15
78,88,95,16,28,28,11
79,2,2,12,27,11,13
80,90,34,11,93,3,74
81,28,39,1,39,12,86
82,23,65,73,90,4,48
83,41,44,58,26,35,11
84,31,51,35,18,4,11
85,27,78,58,20,11,26
86,61,94,30,80,18,13
87,64,93,3,46,29,34
88,84,51,29,56,10,8
89,97,43,99,22,77,6
90,23,70,79,31,14,79
91,91,82,42,7,15,61
92,85,27,84,15,78,50
93,88,28,36,25,5,3
94,74,1,93,15,61,47
95,16,24,59,6,93,78
96,22,50,41,30,0,33
97,97,81,96,40,39,36
98,27,87,36,1,98,8
99,90,38,35,6,69,9
